name,playcount,listeners,mbid,url,streamable,image/0/#text,image/0/size,image/1/#text,image/1/size,image/2/#text,image/2/size,image/3/#text,image/3/size,image/4/#text,image/4/size
Rihanna,300583,70251,69989475-2971-49aa-8c53-5d74af88b8be,http://www.last.fm/music/Rihanna,0,http://userserve-ak.last.fm/serve/34/90341421.png,small,http://userserve-ak.last.fm/serve/64/90341421.png,medium,http://userserve-ak.last.fm/serve/126/90341421.png,large,http://userserve-ak.last.fm/serve/252/90341421.png,extralarge,http://userserve-ak.last.fm/serve/_/90341421/Rihanna+riri.png,mega
Coldplay,303177,67976,cc197bad-dc9c-440d-a5b5-d52ba2e14234,http://www.last.fm/music/Coldplay,0,http://userserve-ak.last.fm/serve/34/103862841.png,small,http://userserve-ak.last.fm/serve/64/103862841.png,medium,http://userserve-ak.last.fm/serve/126/103862841.png,large,http://userserve-ak.last.fm/serve/252/103862841.png,extralarge,http://userserve-ak.last.fm/serve/500/103862841/Coldplay+++Oceans.png,mega
Mumford & Sons,765129,66097,c44e9c22-ef82-4a77-9bcd-af6c958446d6,http://www.last.fm/music/Mumford+&+Sons,0,http://userserve-ak.last.fm/serve/34/49582427.png,small,http://userserve-ak.last.fm/serve/64/49582427.png,medium,http://userserve-ak.last.fm/serve/126/49582427.png,large,http://userserve-ak.last.fm/serve/252/49582427.png,extralarge,http://userserve-ak.last.fm/serve/500/49582427/Mumford++Sons++PNG.png,mega
Ed Sheeran,293676,63920,b8a7c51f-362c-4dcb-a259-bc6e0095f0a6,http://www.last.fm/music/Ed+Sheeran,0,http://userserve-ak.last.fm/serve/34/98780571.png,small,http://userserve-ak.last.fm/serve/64/98780571.png,medium,http://userserve-ak.last.fm/serve/126/98780571.png,large,http://userserve-ak.last.fm/serve/252/98780571.png,extralarge,http://userserve-ak.last.fm/serve/500/98780571/Ed+Sheeran+PNG.png,mega
Arctic Monkeys,434409,62474,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,http://www.last.fm/music/Arctic+Monkeys,0,http://userserve-ak.last.fm/serve/34/94093653.png,small,http://userserve-ak.last.fm/serve/64/94093653.png,medium,http://userserve-ak.last.fm/serve/126/94093653.png,large,http://userserve-ak.last.fm/serve/252/94093653.png,extralarge,http://userserve-ak.last.fm/serve/500/94093653/Arctic+Monkeys+Austin+City+Limits+Fest+2013.png,mega
Radiohead,385214,59508,a74b1b7f-71a5-4011-9441-d0b5e4122711,http://www.last.fm/music/Radiohead,0,http://userserve-ak.last.fm/serve/34/317976.jpg,small,http://userserve-ak.last.fm/serve/64/317976.jpg,medium,http://userserve-ak.last.fm/serve/126/317976.jpg,large,http://userserve-ak.last.fm/serve/252/317976.jpg,extralarge,http://userserve-ak.last.fm/serve/_/317976/Radiohead.jpg,mega
Maroon 5,225112,58230,0ab49580-c84f-44d4-875f-d83760ea2cfe,http://www.last.fm/music/Maroon+5,0,http://userserve-ak.last.fm/serve/34/89687701.jpg,small,http://userserve-ak.last.fm/serve/64/89687701.jpg,medium,http://userserve-ak.last.fm/serve/126/89687701.jpg,large,http://userserve-ak.last.fm/serve/252/89687701.jpg,extralarge,http://userserve-ak.last.fm/serve/500/89687701/Maroon+5+Hi+Res+Secondary+Image.jpg,mega
Sia,238794,55699,2f548675-008d-4332-876c-108b0c7ab9c5,http://www.last.fm/music/Sia,0,http://userserve-ak.last.fm/serve/34/49361049.png,small,http://userserve-ak.last.fm/serve/64/49361049.png,medium,http://userserve-ak.last.fm/serve/126/49361049.png,large,http://userserve-ak.last.fm/serve/252/49361049.png,extralarge,http://userserve-ak.last.fm/serve/_/49361049/Sia++09.png,mega
Lana Del Rey,424041,55606,b7539c32-53e7-4908-bda3-81449c367da6,http://www.last.fm/music/Lana+Del+Rey,0,http://userserve-ak.last.fm/serve/34/99673269.png,small,http://userserve-ak.last.fm/serve/64/99673269.png,medium,http://userserve-ak.last.fm/serve/126/99673269.png,large,http://userserve-ak.last.fm/serve/252/99673269.png,extralarge,http://userserve-ak.last.fm/serve/_/99673269/Lana+Del+Rey+ULTRAVIOLENCE+PROMO++PNG.png,mega
Ellie Goulding,176689,53035,33ca19f4-18c8-4411-98df-ac23890ce9f5,http://www.last.fm/music/Ellie+Goulding,0,http://userserve-ak.last.fm/serve/34/50609721.png,small,http://userserve-ak.last.fm/serve/64/50609721.png,medium,http://userserve-ak.last.fm/serve/126/50609721.png,large,http://userserve-ak.last.fm/serve/252/50609721.png,extralarge,http://userserve-ak.last.fm/serve/_/50609721/Ellie+Goulding+1282265231336.png,mega
Imagine Dragons,250828,53008,012151a8-0f9a-44c9-997f-ebd68b5389f9,http://www.last.fm/music/Imagine+Dragons,0,http://userserve-ak.last.fm/serve/34/82413819.png,small,http://userserve-ak.last.fm/serve/64/82413819.png,medium,http://userserve-ak.last.fm/serve/126/82413819.png,large,http://userserve-ak.last.fm/serve/252/82413819.png,extralarge,http://userserve-ak.last.fm/serve/500/82413819/Imagine+Dragons+PNG.png,mega
Calvin Harris,166732,52073,8dd98bdc-80ec-4e93-8509-2f46bafc09a7,http://www.last.fm/music/Calvin+Harris,0,http://userserve-ak.last.fm/serve/34/97578379.png,small,http://userserve-ak.last.fm/serve/64/97578379.png,medium,http://userserve-ak.last.fm/serve/126/97578379.png,large,http://userserve-ak.last.fm/serve/252/97578379.png,extralarge,http://userserve-ak.last.fm/serve/500/97578379/Calvin+Harris.png,mega
Muse,314366,51743,1695c115-bf3f-4014-9966-2b0c50179193,http://www.last.fm/music/Muse,0,http://userserve-ak.last.fm/serve/34/416243.jpg,small,http://userserve-ak.last.fm/serve/64/416243.jpg,medium,http://userserve-ak.last.fm/serve/126/416243.jpg,large,http://userserve-ak.last.fm/serve/252/416243.jpg,extralarge,http://userserve-ak.last.fm/serve/500/416243/Muse.jpg,mega
Hozier,180388,50980,b4691384-50c3-4afd-9988-51d3ec5db65d,http://www.last.fm/music/Hozier,0,http://userserve-ak.last.fm/serve/34/98940141.png,small,http://userserve-ak.last.fm/serve/64/98940141.png,medium,http://userserve-ak.last.fm/serve/126/98940141.png,large,http://userserve-ak.last.fm/serve/252/98940141.png,extralarge,http://userserve-ak.last.fm/serve/500/98940141/Hozier.png,mega
Daft Punk,210217,49583,056e4f3e-d505-4dad-8ec1-d04f521cbb56,http://www.last.fm/music/Daft+Punk,0,http://userserve-ak.last.fm/serve/34/16386751.jpg,small,http://userserve-ak.last.fm/serve/64/16386751.jpg,medium,http://userserve-ak.last.fm/serve/126/16386751.jpg,large,http://userserve-ak.last.fm/serve/252/16386751.jpg,extralarge,http://userserve-ak.last.fm/serve/_/16386751/Daft+Punk.jpg,mega
Major Lazer,152318,48193,75be165a-ad83-4d12-bd28-f589a15c479f,http://www.last.fm/music/Major+Lazer,0,http://userserve-ak.last.fm/serve/34/84635055.png,small,http://userserve-ak.last.fm/serve/64/84635055.png,medium,http://userserve-ak.last.fm/serve/126/84635055.png,large,http://userserve-ak.last.fm/serve/252/84635055.png,extralarge,http://userserve-ak.last.fm/serve/500/84635055/Major+Lazer.png,mega
Red Hot Chili Peppers,241238,48004,8bfac288-ccc5-448d-9573-c33ea2aa5c30,http://www.last.fm/music/Red+Hot+Chili+Peppers,0,http://userserve-ak.last.fm/serve/34/417929.jpg,small,http://userserve-ak.last.fm/serve/64/417929.jpg,medium,http://userserve-ak.last.fm/serve/126/417929.jpg,large,http://userserve-ak.last.fm/serve/252/417929.jpg,extralarge,http://userserve-ak.last.fm/serve/500/417929/Red+Hot+Chili+Peppers.jpg,mega
Florence + the Machine,229922,47917,227b39fc-23f6-40f5-b8a1-75100d5baad4,http://www.last.fm/music/Florence+%252B+the+Machine,0,http://userserve-ak.last.fm/serve/34/104748915.png,small,http://userserve-ak.last.fm/serve/64/104748915.png,medium,http://userserve-ak.last.fm/serve/126/104748915.png,large,http://userserve-ak.last.fm/serve/252/104748915.png,extralarge,http://userserve-ak.last.fm/serve/_/104748915/Florence++the+Machine+flo.png,mega
Kanye West,235576,47743,164f0d73-1234-4e2c-8743-d77bf2191051,http://www.last.fm/music/Kanye+West,0,http://userserve-ak.last.fm/serve/34/48389709.png,small,http://userserve-ak.last.fm/serve/64/48389709.png,medium,http://userserve-ak.last.fm/serve/126/48389709.png,large,http://userserve-ak.last.fm/serve/252/48389709.png,extralarge,http://userserve-ak.last.fm/serve/500/48389709/Kanye+West.png,mega
Nirvana,301933,46807,5b11f4ce-a62d-471e-81fc-a69a8278c7da,http://www.last.fm/music/Nirvana,0,http://userserve-ak.last.fm/serve/34/380269.jpg,small,http://userserve-ak.last.fm/serve/64/380269.jpg,medium,http://userserve-ak.last.fm/serve/126/380269.jpg,large,http://userserve-ak.last.fm/serve/252/380269.jpg,extralarge,http://userserve-ak.last.fm/serve/500/380269/Nirvana.jpg,mega
David Guetta,144692,46232,1bb1eec6-88c3-4028-8920-a985c4b9081a,http://www.last.fm/music/David+Guetta,0,http://userserve-ak.last.fm/serve/34/68044700.png,small,http://userserve-ak.last.fm/serve/64/68044700.png,medium,http://userserve-ak.last.fm/serve/126/68044700.png,large,http://userserve-ak.last.fm/serve/252/68044700.png,extralarge,http://userserve-ak.last.fm/serve/_/68044700/David+Guetta+DavidGuettaPNG.png,mega
Kendrick Lamar,342131,45676,381086ea-f511-4aba-bdf9-71c753dc5077,http://www.last.fm/music/Kendrick+Lamar,0,http://userserve-ak.last.fm/serve/34/77592470.png,small,http://userserve-ak.last.fm/serve/64/77592470.png,medium,http://userserve-ak.last.fm/serve/126/77592470.png,large,http://userserve-ak.last.fm/serve/252/77592470.png,extralarge,http://userserve-ak.last.fm/serve/500/77592470/Kendrick+Lamar+PNG.png,mega
Blur,408325,45226,ba853904-ae25-4ebb-89d6-c44cfbd71bd2,http://www.last.fm/music/Blur,0,http://userserve-ak.last.fm/serve/34/104121989.jpg,small,http://userserve-ak.last.fm/serve/64/104121989.jpg,medium,http://userserve-ak.last.fm/serve/126/104121989.jpg,large,http://userserve-ak.last.fm/serve/252/104121989.jpg,extralarge,http://userserve-ak.last.fm/serve/500/104121989/Blur+tumblr_nm1as0ASqF1rbitzio1_128.jpg,mega
